Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ahu-nūrī,Uballissu-Marduk,,Male,,22864,-,-,-,-,-,-,"less probable","CBS 12826",,"PBS 2/1, 145",Murašû,"Legal document","21.VI.11 Dar II",413,Nippur,"Seals, Epigraphs, Fingernails",https://cdli.ucla.edu/P267427,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3456982,,,2746,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahu-nūrī,Uballissu-Marduk,,Male,,23149,-,-,-,-,-,-,"less probable","CBS 12839",,"PBS 2/1, 146",Murašû,"Legal document","21.VI.11 Dar II",413,Nippur,"Seals, Epigraphs",https://cdli.ucla.edu/P267440,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3456985,,,2815,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahūšunu,Ahu-iddin-Marduk,,Male,,21829,-,-,-,-,-,-,"less probable","CBS 5376",,"BE 9, 1",Murašû,"Legal document","28.VII.01 Art II",404,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261570,-,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2042423,-,-,2662,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahūšunu,Aplāya,,Male,,995,-,-,-,-,-,-,"less probable","CBS 12977",,"Stolper 1985, no. 6",Murašû,"Legal document","12.VII.41 Art I",424,Nippur,,https://cdli.ucla.edu/P267581,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484110,,,123,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahūšunu,Bēl-ēṭir,,Male,,22483,-,-,-,-,-,-,"less probable","CBS 5173",,"BE 10, 131",Murašû,"Legal document","22.VI.11 Dar II",413,Nippur,"Seals, Epigraphs, Fingernails",https://cdli.ucla.edu/P261329,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2133876,,,2704,"guarantor
leaves fingernail marking(s)
lessee",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahūšunu,Ililāya,,Male,Field,987,-,-,-,-,-,-,"less probable","CBS 12977",,"Stolper 1985, no. 6",Murašû,"Legal document","12.VII.41 Art I",424,Nippur,,https://cdli.ucla.edu/P267581,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484110,,,123,"land owner",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Ahūšunu,Līšir,Abī-ul-īde,Male,,62316,Ahūšunu,Līšir,Abī-ul-īde,Male,,21296,"highly probable","BM 41432",,"Dar 409","Egibi Nūr-Sîn","Legal document","05.VIII.15 Dar I",507,Sippar,,-,https://nabucco.arts.kuleuven.be/item/29692,http://www.achemenet.com/fr/item/?/3349245==Strassmaier%20--Inschriften%20von%20Darius&1087349=409&l=a&c=1&t=1.4/1/24/1/1661236,,https://www.britishmuseum.org/collection/object/W_1881-0625-43,7379,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Amurru-iddin,Bābu-iddin,,Male,,44087,-,-,-,-,-,-,"less probable","CBS 5438",,"BE 9, 108",Murašû,"Legal document","12.IX.41 Art I",424,Nippur,"Seals, Epigraphs",https://cdli.ucla.edu/P261632,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2045218,,,5076,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti)"
Anonymous,,,Male,,6768,Ina-Esagil-lilbur,Nabû-šumu-ukīn,Ša-nāšišu,Male,,13187,probable,"BM 42301","BM 43669; BM 42311+","Jursa 1999, pp. 131-133","Šangû-Šamaš A","Legal document","01.XI.13 Dar I",508,Sippar,,-,https://nabucco.arts.kuleuven.be/item/33148,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328158,,https://www.britishmuseum.org/collection/object/W_1881-0701-61,888,recipient,"šangû ša Sippar","TypeLegal documentSubtypelease contract (ana sūti)"
Anonymous,,,Male,,47145,-,-,-,-,-,-,"less probable","CBS 5349",,"BE 10, 43",Murašû,"Legal document","15.VI.01 Dar II",423,Nippur,,https://cdli.ucla.edu/P261543,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132732,,,5460,"passive (mentioned in relation to sb or sth else)",ēmidu,"TypeLegal documentSubtypelease contract (ana sūti)"
Anonymous,,,Male,Land,41278,-,-,-,-,-,-,"less probable","CBS 5419",,"BE 9, 72",Murašû,"Legal document","15.VI.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P261613,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044309,,,4693,"land owner","šangû ša Larak","TypeLegal documentSubtypelease contract (ana sūti)"
Anonymous,,,Male,Land,47527,-,-,-,-,-,-,"less probable","CBS 5501",,"BE 10, 54",Murašû,"Legal document","02.VIII.01 Dar II",423,Enlil-ašābšu-iqbi,Seals,https://cdli.ucla.edu/P261694,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132875,,,5506,"land owner
passive (mentioned in relation to sb or sth else)","pīhatu ša Hindānu","TypeLegal documentSubtypelease contract (ana sūti)"
Anonymous,,Ašlāku,Male,Land,5198,Anonymous,-,Ašlāku,Male,,3160,"highly probable","VAT 140",,"Baker 2004, no. 139",Nappāhu,"Legal document","13.VIII.05 Dar I",517,Babylon,,https://cdli.ucla.edu/P371800,https://nabucco.arts.kuleuven.be/item/22660,,,,677,neighbour,-,"TypeLegal documentSubtypelease contract (ana sūti)"
Anonymous,Nabû-šarru-ibni,,Male,Land,57162,Anonymous,Nabû-šarru-ibni,-,Male,,23745,"highly probable","NY 51",,"Wunsch 2000b, no. 239","Egibi Nūr-Sîn","Legal document","08.[-].14 Dar I",508/507,Broken/Unclear,,-,https://nabucco.arts.kuleuven.be/item/29833,http://www.achemenet.com/en/item/?/textual-sources/texts-by-publication/Wunsch_CM_20/1328905,-,-,6744,neighbour,-,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",,,Male,,6771,-,-,-,-,-,-,"less probable","BM 42301","BM 43669; BM 42311+","Jursa 1999, pp. 131-133","Šangû-Šamaš A","Legal document","01.XI.13 Dar I",508,Sippar,,-,https://nabucco.arts.kuleuven.be/item/33148,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/autres-archives-privees/1328158,,https://www.britishmuseum.org/collection/object/W_1881-0701-61,888,recipient,broken/unclear,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",,,Male,,21340,-,-,-,-,-,-,"less probable","CBS 12995",,"Stolper 1985, no. 119",Murašû,"Legal document","[-].[-].35 Art I",430/429,Broken/Unclear,Seals,https://cdli.ucla.edu/P267599,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3491036,,,2608,broken/unclear,ardu,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",,,Male,,33019,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 45",Murašû,"Legal document","20.V.36 Art I",429,Nippur,Seals,https://cdli.ucla.edu/P453403,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043617,,,3781,lessee,kinattu,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",,,Male,,47144,-,-,-,-,-,-,"less probable","CBS 5349",,"BE 10, 43",Murašû,"Legal document","15.VI.01 Dar II",423,Nippur,,https://cdli.ucla.edu/P261543,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2132732,,,5460,"passive (mentioned in relation to sb or sth else)",kinattu,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",,,Male,,49794,-,-,-,-,-,-,"less probable","CBS 5220",,"BE 10, 112",Murašû,"Legal document","05.VII.06 Dar II",418,Nippur,Seals,https://cdli.ucla.edu/P261413,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2133629,,,5799,"passive (mentioned in relation to sb or sth else)
person in charge (ina/ša qātē)","šaknu ša šušānē ša bīt šaknūtē","TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",,,Male,"Cattle, SmallCattle",3748,-,-,-,-,-,-,"less probable","CBS 5205",,"Stolper 1985, no. 11",Murašû,"Legal document","10.III.40 Art I",425,Nippur,,https://cdli.ucla.edu/P261398,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486739,,,131,sub-lessee,-,"TypeLegal documentSubtypelease contract (ana sūti)"
"Anonymous group",,,Male,Land,42716,-,-,-,-,-,-,"less probable","CBS 5305",,"BE 9, 86a",Murašû,"Legal document","[-].III.41 Art I",424,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P261499,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2044667,,,4934,"land owner",-,"TypeLegal documentSubtypelease contract (ana sūti)"
