Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Bānia,Barik-il,,Male,,35695,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Bēl-ittannu,Bēl-bullissu,,Male,,35869,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Enlil-iddin,Enlil-uballiṭ,,Male,,35860,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",paqdu,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Enlil-šumu-iddin,Murašû,,Male,,35677,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"lessee
payer",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Enlil-šumu-iddin,Ninurta-ēriba,,Male,,35701,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Erība-Enlil,Enlil-bānī,,Male,,35830,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Erībāya,Ninurta-iddin,,Male,,35857,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)","paqdu ša abulmāhu","TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Esagil-bēlet,En[lil]-ittannu,,Female,,35884,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, special (ina ašābi)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Iddin-Marduk,Uballissu-Marduk,,Male,,35824,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Imbia,Kidinnu,,Male,,35851,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Lâbâši,Nādinu,,Male,,35848,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Mīnu-Bēl-dān,Balāṭu,,Male,Field,35686,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,neighbour,-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Nabû-ahhē-iddin,Ninurta-iddin,,Male,Field,35680,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,neighbour,-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Na’id-Ninurta,Enlil-šumu-ukīn,,Male,,35716,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Ninurta-ahu-iddin,Arad-Egalmah,,Male,,35863,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)","paqdu ša abul pānišu Uri","TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Ninurta-ana-bītišu,Lū-idia,,Male,,35866,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)","paqdu ša abul Gula","TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Ninurta-iddin,Ninurta-ēriba,,Male,,35698,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Ninurta-mutīr-gimilli,Nabû-ahhē-iddin,,Male,,35821,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Ninurta-nāṣir,Arad-Enlil,,Male,,35878,Ninurta-nāṣir,Arad-Enlil,-,Male,,21440,"highly probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Ninurta-nāṣir,Nabû-ahhē-iddin,,Male,,35818,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Quddāya,Murašû,,Male,,35707,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Rēmūt-Ninurta,Enlil-hātin,,Male,,35719,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Rušundāta,,,Male,Land,35566,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,neighbour,-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Rušunpāta,,,Male,Field,35689,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,neighbour,sēpiru/sepīru,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Šamaš-ahu-iddin,Ninurta-ēṭir,,Male,,35815,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"sealer of the tablet
witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Šamaš-uballiṭ,Tīri-Yāma,,Male,,35875,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Šumu-iddin,Tattannu,,Male,,35854,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Šumu-iddin,Uraš-iddin,,Male,,35842,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
Ustū,Dartunā,,Male,,35872,-,-,-,-,-,-,"less probable","Unknown (poss. H.V. Hilprecht)",,"BE 9, 48",Murašû,"Legal document","02.VII.36 Art I",429,Nippur,"Seals, Fingernails",https://cdli.ucla.edu/P453404,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/2043689,,,4120,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypelease contract (ana sūti and zāqipānūti)"
