Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
Ina-tēšî-ēṭir,Amīl-Nanāya,,Male,,8456,Ina-tēšî-ēṭir,Amīl-Nanāya,-,Male,,12633,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"debtor
witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Ina-tēšî-ēṭir,Marduk-nāṣir,,Male,,8697,Ina-tēšî-ēṭir,Marduk-nāṣir,-,Male,,12632,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Ištar-šumu-ibni,Marduk-nāṣir,,Male,,8433,Ištar-šumu-ibni,Marduk-nāṣir,-,Male,,12628,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Ištar-šumu-uṣur,Nanāya-ahu-iddin,,Male,,8593,Ištar-šumu-uṣur,Nanāya-ahu-iddin,-,Male,,12627,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,debtor,-,"TypeLegal documentSubtypesummary"
Kudurru,Rēmūtu,,Male,,8438,Kudurru,Rēmūtu,-,Male,,12621,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Marduk-erība,Nabû-nāṣir,,Male,Slave,8673,Marduk-erība,Nabû-nāṣir,-,Male,,12617,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"debtor
master (of a slave)",-,"TypeLegal documentSubtypesummary"
Marduk-nāṣir,Iqīšāya,,Male,,8408,Marduk-nāṣir,Iqīšāya,-,Male,,12614,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Marduk-nāṣir,Nabû-ušallim,,Male,,8452,Marduk-nāṣir,Nabû-ušallim,Šamšēa,Male,,12501,probable,"IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,creditor,-,"TypeLegal documentSubtypesummary"
Marduk-šāpik-zēri,Nabû-balāssu-iqbi,,Male,,8431,Marduk-šāpik-zēri,Nabû-balāssu-iqbi,-,Male,,12613,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Marduk-šumu-uṣur,Mušēzib-Marduk,,Male,,8467,Marduk-šumu-uṣur,Mušēzib-Marduk,-,Male,,12612,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Marduk-zēru-ibni,Nabû-zēru-ušebši,Šamšēa,Male,Prebend,8586,Marduk-zēru-ibni,Nabû-zēru-ušebši,Šamšēa,Male,,12500,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"debtor
witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Mušallim-Marduk,Nabû-šumu-uṣur,,Male,,8698,Mušallim-Marduk,Nabû-šumu-uṣur,-,Male,,12603,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,debtor,-,"TypeLegal documentSubtypesummary"
Mušallim-Marduk,Nergal-nāṣir,,Male,,8434,Mušallim-Marduk,Nergal-nāṣir,-,Male,,12602,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"debtor
scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Mušēzib-Marduk,Nabû-zēru-ibni,Rīm-Anu,Male,,8435,Mušēzib-Marduk,Nabû-zēru-ibni,Rīm-Anu,Male,,12600,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Nabopolassar,,,Male,,8350,Nabopolassar,-,-,Male,,16373,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"king in date","šar Bābili
šar māt Bābili","TypeLegal documentSubtypesummary"
Nabû-kēšir,Līdānu,,Male,,8459,Nabû-kēšir,Līdānu,-,Male,,12584,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"debtor
witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Nabû-mukīn-apli,Na’id-Marduk,Sîn-leqe-unninnī,Male,,8432,Nabû-mukīn-apli,Na’id-Marduk,Sîn-leqe-unninnī,Male,,12497,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Nabû-nādin-šumi,Marduk-erība,,Male,,8409,Nabû-nādin-šumi,Marduk-erība,-,Male,,12582,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Nabû-šumu-iddin,Bēl-iqīša,,Male,,8713,Nabû-šumu-iddin,Bēl-iqīša,-,Male,,12494,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Nabû-šumu-līšir,Marduk-nāṣir,,Male,,8629,Nabû-šumu-līšir,Marduk-nāṣir,-,Male,,12575,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,creditor,-,"TypeLegal documentSubtypesummary"
Nabû-šumu-ukīn,Ahhēa,,Male,,8439,Nabû-šumu-ukīn,Ahhēa,-,Male,,12492,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
Nabû-šumu-uṣur,Nabû-ušallim,,Male,"Prebend, Slave",8464,Nabû-šumu-uṣur,Nabû-ušallim,-,Male,,12491,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"debtor
master (of a slave)",-,"TypeLegal documentSubtypesummary"
Nabû-ušallim,Bēl-iddin,,Male,,8707,Nabû-ušallim,Bēl-iddin,-,Male,,12490,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,creditor,-,"TypeLegal documentSubtypesummary"
Nabû-ušebši,Nabû-ēṭir,,Male,,8715,Nabû-ušebši,Nabû-ēṭir,-,Male,,12488,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesummary"
Nabû-zēru-ibni,Nabû-unammir,,Male,,8704,Nabû-zēru-ibni,Nabû-unammir,-,Male,,12570,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,debtor,-,"TypeLegal documentSubtypesummary"
Nabû-zēru-iqīša,Ēzu-u-pāšir,,Male,,8410,Nabû-zēru-iqīša,Ēzu-u-pāšir,-,Male,,12566,"highly probable","IM 65084",,"Hunger 1970, no. 17",Šamšēa,"Legal document","06?.XI?.06? -",-,Uruk,,-,-,-,-,-,1052,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesummary"
