Name,Patronym,"Family name",Gender,Owns,"Attestation ID",ind.Name,ind.Patronym,"ind.Family name",ind.Gender,Biography,PID,Probability,"Museum no.",Duplicate,Publication,Archive,Type,Date,"Julian date","Place of writing",Has,"Cdli URL","Nabucco URL","Achemenet URL","Oracc URL","British Museum URL","Tablet ID",Role,Title,"Type and objects"
[Ahi-yalid],,,Male,Field,1164,-,-,-,-,-,-,"less probable","CBS 12998","CBS 4999","Stolper 1985, no. 15",Murašû,"Legal document","[25].[VII].[40] [Art I]",[425],Nippur,,https://cdli.ucla.edu/P267602,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486751,,,145,"land owner",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Ahu-lētī],,,Male,Field,1162,-,-,-,-,-,-,"less probable","CBS 12998","CBS 4999","Stolper 1985, no. 15",Murašû,"Legal document","[25].[VII].[40] [Art I]",[425],Nippur,,https://cdli.ucla.edu/P267602,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486751,,,145,"land owner",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Aqar]a,Iddināya,,Male,,1665,-,-,-,-,-,-,"less probable","CBS 12894",,"Stolper 1985, no. 27",Murašû,"Legal document","25.VII.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P267495,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486807,,,217,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Arad-Enlil],Širikti-Ninurta,,Male,,1132,-,-,-,-,-,-,"less probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Arad-Enlil],Širikti-[Ninurta],,Male,,1115,-,-,-,-,-,-,"less probable","CBS 5174+",,"Stolper 1985, no. 13",Murašû,"Legal document","[-].III?.38 Art I",427,Broken/Unclear,,https://cdli.ucla.edu/P261366,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486745,,,140,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Artaxerxes],,,Male,,8322,-,-,-,-,-,-,"less probable","CBS 4993+",,"Stolper 1985, no. 2",Murašû,"Legal document","05.V.[24] [Art I]",[441],Nippur,,https://cdli.ucla.edu/P261186,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484098,,,106,"king in date","šar mātāti","TypeLegal documentSubtypesub-lease contract (ana sūti)"
[A]rdia,Ṭāb-[...],,Male,,858,-,-,-,-,-,-,"less probable","CBS 4993+",,"Stolper 1985, no. 2",Murašû,"Legal document","05.V.[24] [Art I]",[441],Nippur,,https://cdli.ucla.edu/P261186,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484098,,,106,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Balā]ṭu,Bēlšunu,,Male,,1140,-,-,-,-,-,-,"less probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Bēl-ibni],,,Male,Field,1161,-,-,-,-,-,-,"less probable","CBS 12998","CBS 4999","Stolper 1985, no. 15",Murašû,"Legal document","[25].[VII].[40] [Art I]",[425],Nippur,,https://cdli.ucla.edu/P267602,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486751,,,145,"land owner",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Bēl-nāṣir],[Bē]l-ušēzib,,Male,,836,-,-,-,-,-,-,"less probable","CBS 4993+",,"Stolper 1985, no. 2",Murašû,"Legal document","05.V.[24] [Art I]",[441],Nippur,,https://cdli.ucla.edu/P261186,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3484098,,,106,broken/unclear,"ša muhhi sūti","TypeLegal documentSubtypesub-lease contract (ana sūti)"
[B]alāṭu,Bēlšunu,,Male,,1663,-,-,-,-,-,-,"less probable","CBS 12894",,"Stolper 1985, no. 27",Murašû,"Legal document","25.VII.40 Art I",425,Nippur,Seals,https://cdli.ucla.edu/P267495,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486807,,,217,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Mušēzib-Bēl],,,Male,Field,1163,-,-,-,-,-,-,"less probable","CBS 12998","CBS 4999","Stolper 1985, no. 15",Murašû,"Legal document","[25].[VII].[40] [Art I]",[425],Nippur,,https://cdli.ucla.edu/P267602,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486751,,,145,"land owner",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Ninurta-nāṣir],Arad-Enlil,,Male,,1145,Ninurta-nāṣir,Arad-Enlil,-,Male,,21440,"highly probable","CBS 4999","CBS 12998","Stolper 1985, no. 14",Murašû,"Legal document","25.VII.40 [Art I]",[425],Nippur,Seals,https://cdli.ucla.edu/P261192,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486748,,,142,"scribe (ṭupšarru)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Ninurta-nāṣir],Nabû-ahhē-iddin,,Male,,1120,-,-,-,-,-,-,"less probable","CBS 5174+",,"Stolper 1985, no. 13",Murašû,"Legal document","[-].III?.38 Art I",427,Broken/Unclear,,https://cdli.ucla.edu/P261366,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486745,,,140,"witness, regular (mukinnu)",-,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
[Rībātu],,,Male,,1154,-,-,-,-,-,-,"less probable","CBS 12998","CBS 4999","Stolper 1985, no. 15",Murašû,"Legal document","[25].[VII].[40] [Art I]",[425],Nippur,,https://cdli.ucla.edu/P267602,,http://www.achemenet.com/fr/item/?/sources-textuelles/textes-par-langues-et-ecritures/babylonien/archives-murasu/3486751,,,145,sub-lessee,ardu,"TypeLegal documentSubtypesub-lease contract (ana sūti)"
